 CONF#        E (DFT) (+ ΔGsolv)       ΔE (DFT) (+ δΔGsolv)       GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                     [Eh]                   [kcal/mol]             [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1           -390.802558                   0.06                ---         -390.802558          0.06                1.87         
 CONF2           -390.802504                   0.10                ---         -390.802504          0.10                1.76         
 CONF3           -390.801605                   0.66                ---         -390.801605          0.66                0.68         
 CONF4           -390.801345                   0.83                ---         -390.801345          0.83                0.52         
 CONF5           -390.801691                   0.61                ---         -390.801691          0.61                0.75         
 CONF6           -390.801681                   0.62                ---         -390.801681          0.62                0.74         
 CONF7           -390.801612                   0.66                ---         -390.801612          0.66                0.69         
 CONF8           -390.801571                   0.68                ---         -390.801571          0.68                0.66         
 CONF9           -390.801671                   0.62                ---         -390.801671          0.62                0.73         
CONF10           -390.801572                   0.68                ---         -390.801572          0.68                0.66         
CONF11           -390.801534                   0.71                ---         -390.801534          0.71                0.63         
CONF12           -390.801529                   0.71                ---         -390.801529          0.71                0.63         
CONF13           -390.801553                   0.70                ---         -390.801553          0.70                0.64         
CONF14           -390.801618                   0.65                ---         -390.801618          0.65                0.69         
CONF15           -390.801520                   0.72                ---         -390.801520          0.72                0.62         
CONF16           -390.801874                   0.49                ---         -390.801874          0.49                0.90         
CONF17           -390.802662                   0.00                ---         -390.802662          0.00                2.08         
CONF19           -390.800631                   1.27                ---         -390.800631          1.27                0.24         
CONF20           -390.800758                   1.19                ---         -390.800758          1.19                0.28         
CONF21           -390.802058                   0.38                ---         -390.802058          0.38                1.10         
CONF22           -390.800899                   1.11                ---         -390.800899          1.11                0.32         
CONF23           -390.801379                   0.81                ---         -390.801379          0.81                0.54         
CONF24           -390.800797                   1.17                ---         -390.800797          1.17                0.29         
CONF25           -390.801428                   0.77                ---         -390.801428          0.77                0.56         
CONF26           -390.800800                   1.17                ---         -390.800800          1.17                0.29         
CONF27           -390.800769                   1.19                ---         -390.800769          1.19                0.28         
CONF28           -390.800776                   1.18                ---         -390.800776          1.18                0.28         
CONF29           -390.800847                   1.14                ---         -390.800847          1.14                0.30         
CONF30           -390.800729                   1.21                ---         -390.800729          1.21                0.27         
CONF31           -390.800791                   1.17                ---         -390.800791          1.17                0.29         
CONF32           -390.801076                   1.00                ---         -390.801076          1.00                0.39         
CONF33           -390.800807                   1.16                ---         -390.800807          1.16                0.29         
CONF34           -390.801120                   0.97                ---         -390.801120          0.97                0.41         
CONF35           -390.800807                   1.16                ---         -390.800807          1.16                0.29         
CONF36           -390.800804                   1.17                ---         -390.800804          1.17                0.29         
CONF37           -390.801479                   0.74                ---         -390.801479          0.74                0.60         
CONF38           -390.801452                   0.76                ---         -390.801452          0.76                0.58         
CONF39           -390.801474                   0.75                ---         -390.801474          0.75                0.59         
CONF40           -390.801961                   0.44                ---         -390.801961          0.44                0.99         
CONF41           -390.800726                   1.21                ---         -390.800726          1.21                0.27         
CONF42           -390.800784                   1.18                ---         -390.800784          1.18                0.29         
CONF43           -390.801337                   0.83                ---         -390.801337          0.83                0.51         
CONF44           -390.801397                   0.79                ---         -390.801397          0.79                0.55         
CONF45           -390.800441                   1.39                ---         -390.800441          1.39                0.20         
CONF46           -390.800753                   1.20                ---         -390.800753          1.20                0.28         
CONF47           -390.801315                   0.85                ---         -390.801315          0.85                0.50         
CONF48           -390.801316                   0.84                ---         -390.801316          0.84                0.50         
CONF49           -390.801358                   0.82                ---         -390.801358          0.82                0.52         
CONF50           -390.801506                   0.73                ---         -390.801506          0.73                0.61         
CONF51           -390.801332                   0.83                ---         -390.801332          0.83                0.51         
CONF52           -390.801501                   0.73                ---         -390.801501          0.73                0.61         
CONF53           -390.800699                   1.23                ---         -390.800699          1.23                0.26         
CONF54           -390.800423                   1.40                ---         -390.800423          1.40                0.19         
CONF55           -390.800476                   1.37                ---         -390.800476          1.37                0.21         
CONF56           -390.801056                   1.01                ---         -390.801056          1.01                0.38         
CONF57           -390.800787                   1.18                ---         -390.800787          1.18                0.29         
CONF58           -390.801363                   0.81                ---         -390.801363          0.81                0.53         
CONF59           -390.801602                   0.67                ---         -390.801602          0.67                0.68         
CONF60           -390.801603                   0.66                ---         -390.801603          0.66                0.68         
CONF61           -390.800905                   1.10                ---         -390.800905          1.10                0.32         
CONF62           -390.800715                   1.22                ---         -390.800715          1.22                0.27         
CONF63           -390.800704                   1.23                ---         -390.800704          1.23                0.26         
CONF64           -390.800841                   1.14                ---         -390.800841          1.14                0.30         
CONF65           -390.801296                   0.86                ---         -390.801296          0.86                0.49         
CONF66           -390.801305                   0.85                ---         -390.801305          0.85                0.50         
CONF67           -390.801261                   0.88                ---         -390.801261          0.88                0.47         
CONF68           -390.800509                   1.35                ---         -390.800509          1.35                0.21         
CONF69           -390.800421                   1.41                ---         -390.800421          1.41                0.19         
CONF70           -390.800627                   1.28                ---         -390.800627          1.28                0.24         
CONF71           -390.800699                   1.23                ---         -390.800699          1.23                0.26         
CONF72           -390.800709                   1.23                ---         -390.800709          1.23                0.26         
CONF73           -390.800303                   1.48                ---         -390.800303          1.48                0.17         
CONF74           -390.800400                   1.42                ---         -390.800400          1.42                0.19         
CONF75           -390.801664                   0.63                ---         -390.801664          0.63                0.72         
CONF77           -390.801431                   0.77                ---         -390.801431          0.77                0.57         
CONF78           -390.801443                   0.76                ---         -390.801443          0.76                0.57         
CONF81           -390.801726                   0.59                ---         -390.801726          0.59                0.77         
CONF82           -390.801754                   0.57                ---         -390.801754          0.57                0.80         
CONF83           -390.801718                   0.59                ---         -390.801718          0.59                0.77         
CONF84           -390.801723                   0.59                ---         -390.801723          0.59                0.77         
CONF85           -390.801715                   0.59                ---         -390.801715          0.59                0.76         
CONF87           -390.801713                   0.60                ---         -390.801713          0.60                0.76         
CONF89           -390.801800                   0.54                ---         -390.801800          0.54                0.84         
